county,Hazard,totalSubapplicationAmount,Hazard_color
31023,Flooding,4189800.0,00AAFF
31023,Winter storm,1289353.0,A0E6FF
31031,Drought,84000.0,CC5500
31035,Infrastructure failure,1485252.0,884DFF
31037,Extreme temperature,27587900.0,CC5500
31037,Flooding,4189800.0,00AAFF
31039,Flooding,5411703.13,00AAFF
31041,Flooding,4745091.45,00AAFF
31043,Flooding,715000.0,00AAFF
31047,Flooding,299250.0,00AAFF
31051,Flooding,715000.0,00AAFF
31053,Flooding,58641354.0,00AAFF
31055,Flooding,22761035.53,00AAFF
31055,Severe storm,200025.0,FFFF00
31057,Flooding,55925.0,00AAFF
31067,Flooding,671788.1699999999,00AAFF
31073,Flooding,299250.0,00AAFF
31079,Flooding,4280831.0,00AAFF
31083,Flooding,83000.0,00AAFF
31083,Severe storm,79804.56,FFFF00
31095,Flooding,671788.1699999999,00AAFF
31097,Flooding,177750.0,00AAFF
31107,Severe storm,1336122.96,FFFF00
31107,Tornado,85000.0,4F666A
31107,Winter storm,860840.0,A0E6FF
31109,Fire,779403.46,FF1919
31109,Flooding,794645.6,00AAFF
31111,Flooding,152000.0,00AAFF
31115,Flooding,4745091.45,00AAFF
31117,Flooding,152000.0,00AAFF
31119,Flooding,266645.83,00AAFF
31125,Severe storm,1770406.0,FFFF00
31137,Severe storm,79804.56,FFFF00
31139,Flooding,266645.83,00AAFF
31139,Winter storm,860840.0,A0E6FF
31141,Extreme temperature,27587900.0,CC5500
31141,Flooding,4189800.0,00AAFF
31141,Severe storm,1770406.0,FFFF00
31143,Extreme temperature,27587900.0,CC5500
31143,Flooding,4189800.0,00AAFF
31143,Severe storm,4556225.0,FFFF00
31143,Winter storm,2500350.0,A0E6FF
31147,Severe storm,5326227.0,FFFF00
31153,Flooding,13084642.530000001,00AAFF
31155,Flooding,58903854.0,00AAFF
31167,Flooding,266645.83,00AAFF
31173,Drought,87656.0,CC5500
31173,Flooding,5411703.13,00AAFF
31177,Flooding,58641354.0,00AAFF
31177,Tornado,254500.0,4F666A
31179,Flooding,5411703.13,00AAFF
31185,Flooding,100000.0,00AAFF
