county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01063,35480,0.014598540,0.003436426,0.000000000,0.013947740
01063,35462,0.514317799,0.793814433,0.900000000,0.530720339
01063,35463,0.004866180,0.000000000,0.000000000,0.004590395
01063,35443,0.207561295,0.085910653,0.066666667,0.200564972
01063,36740,0.226651694,0.079037801,0.033333333,0.218043785
01063,35469,0.026389669,0.027491409,0.000000000,0.026306497
01063,35448,0.000000000,0.003436426,0.000000000,0.000176554
01065,36742,0.029462939,0.027426160,0.002481390,0.028216467
01065,35474,0.251826934,0.166666667,0.044665012,0.238787113
01065,36776,0.104280246,0.029535865,0.000000000,0.096125500
01065,36765,0.062173762,0.023206751,0.009925558,0.058012213
01065,36786,0.000115996,0.000000000,0.000000000,0.000105285
01065,36738,0.013687507,0.004219409,0.009925558,0.013055380
01065,36744,0.452963693,0.710970464,0.928039702,0.485997052
01065,36756,0.002319916,0.002109705,0.000000000,0.002210992
01065,35441,0.083169006,0.035864979,0.004962779,0.077489998
01067,36317,0.023680124,0.008838384,0.010989011,0.022433056
01067,36319,0.049980590,0.017676768,0.000000000,0.046905480
01067,36303,0.001843944,0.000000000,0.000000000,0.001684696
01067,36353,0.081424689,0.030303030,0.010989011,0.076697996
01067,36310,0.457686335,0.535353535,0.824175824,0.469054797
01067,36345,0.345496894,0.388888889,0.148351648,0.345362653
01067,36350,0.008055124,0.003787879,0.000000000,0.007625466
01067,36373,0.031832298,0.015151515,0.005494505,0.030235857
01069,36320,0.034587866,0.011177988,0.013477089,0.031404725
01069,36302,0.030079579,0.120808255,0.000539084,0.039169457
01069,36370,0.008523764,0.000573230,0.000000000,0.007403216
01069,36303,0.274074615,0.390942964,0.379514825,0.289967149
01069,36301,0.340603782,0.321152193,0.377358491,0.339541975
01069,36345,0.008395999,0.002436228,0.001617251,0.007544679
01069,36350,0.005712930,0.000716538,0.000000000,0.004998350
01069,36321,0.014601738,0.004729149,0.011320755,0.013423241
01069,36376,0.021811346,0.003439381,0.007547170,0.019380393
01069,36312,0.055249325,0.011321296,0.037196765,0.049904906
01069,36319,0.013616120,0.004872456,0.009164420,0.012527310
01069,36352,0.028582901,0.012324448,0.008625337,0.026217758
01069,36343,0.016025407,0.004442534,0.001078167,0.014319171
01069,36305,0.137055560,0.107194038,0.147169811,0.134075227
01069,36375,0.011079068,0.003869304,0.005390836,0.010122444
